Date,EURUSD,logdiff
2019-09-01,1.1011,-0.010659540859834032
2019-10-01,1.1058,0.00425937478428709
2019-11-01,1.1051,-0.0006332263090959855
2019-12-01,1.1114,0.005684653251084318
2020-01-01,1.1098,-0.0014406629540200527
2020-02-01,1.0911,-0.01699345723074777
2020-03-01,1.1046,0.012296916806034189
2020-04-01,1.0871,-0.015969678257132552
2020-05-01,1.0907,0.0033060917247425825
2020-06-01,1.1259,0.03176302387438752
2020-07-01,1.1488,0.020135203484875033
2020-08-01,1.1831,0.02942019296565737
2020-09-01,1.1785,-0.0038956688834312636
2020-10-01,1.1768,-0.0014435530889580772
2020-11-01,1.1826,0.004916514099501779
2020-12-01,1.2168,0.02850905755835359
2021-01-01,1.2178,0.0008214902293905146
2021-02-01,1.2094,-0.006921583335361137
2021-03-01,1.1902,-0.016003008628360932
2021-04-01,1.1965,0.005279268137676291
2021-05-01,1.2146,0.015014176115046962
2021-06-01,1.2048,-0.008101226417845664
2021-07-01,1.1821,-0.01902106028929801
2021-08-01,1.1767,-0.0045786072864479055
2021-09-01,1.1765,-0.00016998130246603793
2021-10-01,1.16,-0.014123924067006993
2021-11-01,1.1416,-0.015989217937783656
2021-12-01,1.1301,-0.010124662796521439
2022-01-01,1.1317,0.0014148026057906604
2022-02-01,1.1349,0.0028236143351974274
2022-03-01,1.1019,-0.029508578813361858
2022-04-01,1.0803,-0.019797182170792127
2022-05-01,1.0567,-0.022087935875954208
2022-06-01,1.0567,0.0
2022-07-01,1.0168,-0.03849040357174085
2022-08-01,1.0129,-0.0038429371824928275
2022-09-01,0.9899,-0.022968854766989698
2022-10-01,0.9853,-0.004657764597332871
2022-11-01,1.0192,0.033827121489470174
2022-12-01,1.0591,0.03840148503172447
2023-01-01,1.0777,0.017409649753162657
2023-02-01,1.0702,-0.006983593725581841
2023-03-01,1.0711,0.0008406108933796258
2023-04-01,1.0962,0.02316349584143218
2023-05-01,1.0867,-0.008704072543210178
2023-06-01,1.084,-0.002487678069214322
2023-07-01,1.1067,0.020724711271148055
2023-08-01,1.091,-0.014287907437668862
2023-09-01,1.0672,-0.022056310671711585
2023-10-01,1.0565,-0.010076838105247815
2023-11-01,1.0819,0.02375719663741642
2023-12-01,1.0909,0.008284288910183249
2024-01-01,1.0899,-0.0009170947084450182
2024-02-01,1.0793,-0.009773266063965474
2024-03-01,1.087,0.007108925289908849
2024-04-01,1.0724,-0.013522480759405167
2024-05-01,1.081,0.007987411277404002
2024-06-01,1.0763,-0.0043573053689556634
2024-07-01,1.0847,0.007774217775919259
2024-08-01,1.102,0.01582325966668803
2024-09-01,1.1104,0.007593600039680237
2024-10-01,1.0895,-0.019001435367865624
2024-11-01,1.0621,-0.025470795057180508
2024-12-01,1.0472,-0.01412814473180389
2025-01-01,1.0356,-0.011138966718307441
2025-02-01,1.0413,0.005488963658467523
2025-03-01,1.0813,0.037694088415641175
2025-04-01,1.1232,0.038017733320055314
2025-05-01,1.1274,0.003732342375927941
2025-06-01,1.1534,0.02280000553383764
2025-07-01,1.1671,0.011807937236995775
2025-08-01,1.1647,-0.002058496309701785
2025-09-01,1.1739,0.00786799577587019
2025-10-01,1.1641,-0.008383282630281208
2025-11-01,1.1558,-0.007155511370517675
2025-12-01,1.171,0.013065339714039836
