FkIdSkRok,FkIdSkola,Skore,VyznanSkore,Mat,PH,T5,T9,T5_mat,T5_SJ,Mat_mat,Mat_VJ,Mat_CJ,Pedag,Rozpocet
19,1981,5.97153739929199,0.5,,,,7.46442184448242,,,7.5367301940918,7.39211349487305,,4.12774276733398,5.30515289306641
19,1982,,,,,,,,,,,,3.66582717895508,4.84920310974121
19,1983,7.84506301879883,0.5,,,,9.04395294189453,,,8.58110809326172,9.50679779052734,,4.7098991394043,5.3775032043457
19,1984,4.80719718933105,1,,,,6.00899658203125,,,5.48111915588379,6.53687438964844,,3.82180480957031,6.36155319213867
19,1985,6.07570571899414,1,,,,7.15552215576172,,,8.38179931640625,5.92924575805664,,3.1456018447876,6.72718811035156
19,1986,4.96983985900879,1,4.37948417663574,4.14609985351562,,,,,7.00639877319336,4.14527854919434,4.24023742675781,3.05092868804932,4.86896896362305
19,1987,6.56718139648437,1,,,,8.00867767333984,,,8.36771697998047,7.65291748046875,,2.56917533874512,6.97771911621094
19,1989,,,,,,,,,,,,5.51474151611328,
19,1990,3.13783683776855,0.5,,,,3.92229614257813,,,3.31125831604004,4.53333358764648,,1.55844354629517,
19,1991,6.88231887817383,1,,,,8.33549957275391,,,8.28664245605469,8.38435668945312,,5.07671813964844,7.21304473876953
19,1992,6.64766693115234,1,,,,8.30958404541016,,,7.96126098632813,8.65790710449219,,2.12615146636963,7.00242080688477
19,1995,5.51274871826172,1,5.2980037689209,4.63554954528809,,,,,4.48356208801269,6.11594734191894,4.83456802368164,2.72464790344238,6.90071868896484
19,1996,5.47985496520996,1,4.37833251953125,6.56306610107422,,,,,0,5.50454978942871,3.24178314208984,3.65892181396484,5.07923774719238
19,1999,6.72877578735352,1,,,,6.50977325439453,,,6.38651733398437,6.63302841186523,,3.75415000915527,6.73827972412109
19,2001,5.85908050537109,1,7.03706359863281,6.07371826171875,,,,,6.49100646972656,7.43222427368164,6.82501907348633,3.38788223266602,5.80224533081055
19,2002,6.19607162475586,1,,,,7.74508972167969,,,7.95863800048828,7.53154067993164,,2.68996734619141,6.7344123840332
19,2003,3.75510749816895,1,4.32360496520996,3.80149917602539,,,,,7.45797882080078,3.41175079345703,4.44240684509277,2.4857177734375,7.07159118652344
19,2005,5.40642700195312,0.5,,,,6.75803375244141,,,6.60947341918945,6.90659408569336,,5.05549621582031,4.69642753601074
19,2006,,,,,,,,,,,,5.7534252166748,5.5228816986084
19,2007,6.12854423522949,1,,,,6.52018432617187,,,6.70189819335937,6.33847007751465,,3.36533203125,6.94529418945312
19,4236,,,,,,,,,,,,,
20,1703,6.37736740112305,0.5,,,9.05466537475586,7.61072387695313,9.08759155273438,9.02173919677734,8.72303085327149,6.49841613769531,,5.24631996154785,5.80544967651367
20,1704,5.5009147644043,1,5.87594413757324,5.62002639770508,,,,,5.52495918273926,6.79235687255859,5.05984573364258,2.83557682037353,7.64885787963867
20,1705,4.8890697479248,1,3.16423587799072,4.73584480285645,,,,,0,2.87469444274902,3.46986312866211,3.28902359008789,4.48781967163086
20,1706,6.22950286865234,1,,,8.00109710693359,7.71547241210938,8.30291976928711,7.69927520751953,7.72592239379883,7.70502166748047,,3.31117324829102,6.93833160400391
20,1707,5.66602783203125,1,,,8.65347061157227,6.55888977050781,8.35766525268555,8.94927597045898,6.5382682800293,6.57951126098633,,3.35721740722656,6.49768447875977
20,1708,6.4652946472168,1,5.81990737915039,6.6258918762207,,,,,0,6.59972610473633,5.04008865356445,4.90544319152832,4.92005882263184
20,1709,,,,,,,,,,,,,
20,1714,5.21256980895996,0.5,4.76761322021484,,,,,,0,5.58467483520508,3.97263450622559,9.34629516601563,6.64912872314453
20,1716,4.86028060913086,0.5,,,10,4.2736701965332,10,10,3.78681335449219,4.76052665710449,,3.98751640319824,
