FkIdObec,FkIdPodtypSkoly,FkIdTypZriadovatela,FkIdSkRok,PocetSkol,PocetZiakov,PocetTried,PocetUcitelov
35,31,1,18,0,0,0,0
35,31,1,17,0,0,0,0
35,31,1,16,0,0,0,0
35,31,1,15,0,0,0,0
35,31,1,14,0,0,0,0
35,31,1,13,0,0,0,0
35,31,1,12,1,396,15,29
35,31,1,11,1,406,15,25
35,31,1,10,1,348,13,21
35,31,1,9,1,313,14,21
35,31,1,8,1,310,13,21
35,31,1,7,1,281,12,19
35,31,1,6,0,0,0,0
35,31,1,5,0,0,0,0
35,31,1,4,0,0,0,0
35,31,1,3,0,0,0,0
35,31,1,2,0,0,0,0
35,31,1,1,0,0,0,0
54,31,1,28,0,0,0,0
54,31,1,27,0,0,0,0
54,31,1,26,0,0,0,0
54,31,1,25,0,0,0,0
54,31,1,24,0,0,0,0
54,31,1,23,0,0,0,0
54,31,1,22,0,0,0,0
54,31,1,21,0,0,0,0
54,31,1,20,0,0,0,0
54,31,1,19,0,0,0,0
54,31,1,18,0,0,0,0
54,31,1,17,0,0,0,0
54,31,1,16,0,0,0,0
54,31,1,15,0,0,0,0
54,31,1,14,0,0,0,0
54,31,1,13,0,0,0,0
54,31,1,12,1,754,30,47
54,31,1,11,0,0,0,0
54,31,1,10,0,0,0,0
54,31,1,9,0,0,0,0
54,31,1,8,0,0,0,0
54,31,1,7,0,0,0,0
54,31,1,6,0,0,0,0
54,31,1,5,0,0,0,0
54,31,1,4,0,0,0,0
54,31,1,3,0,0,0,0
54,31,1,2,0,0,0,0
54,31,1,1,0,0,0,0
1,31,3,28,0,0,0,0
1,31,3,27,0,0,0,0
1,31,3,26,0,0,0,0
1,31,3,25,0,0,0,0
1,31,3,24,0,0,0,0
1,31,3,23,0,0,0,0
1,31,3,22,0,0,0,0
1,31,3,21,0,0,0,0
1,31,3,20,0,0,0,0
1,31,3,19,0,0,0,0
1,31,3,18,0,0,0,0
1,31,3,17,0,0,0,0
1,31,3,16,0,0,0,0
1,31,3,15,0,0,0,0
1,31,3,14,0,0,0,0
1,31,3,13,0,0,0,0
1,31,3,12,1,100,8,9
1,31,3,11,1,69,5,41
1,31,3,10,1,48,4,18
1,31,3,9,1,14,2,5
1,31,3,8,0,0,0,0
1,31,3,7,0,0,0,0
1,31,3,6,0,0,0,0
1,31,3,5,0,0,0,0
1,31,3,4,0,0,0,0
1,31,3,3,0,0,0,0
1,31,3,2,0,0,0,0
1,31,3,1,0,0,0,0
24,12,1,28,0,0,0,0
24,12,1,27,0,0,0,0
24,12,1,26,0,0,0,0
24,12,1,25,0,0,0,0
24,12,1,24,0,0,0,0
24,12,1,23,0,0,0,0
24,12,1,22,0,0,0,0
24,12,1,21,0,0,0,0
24,12,1,20,0,0,0,0
24,12,1,19,0,0,0,0
24,12,1,18,0,0,0,0
24,12,1,17,0,0,0,0
24,12,1,16,0,0,0,0
24,12,1,15,0,0,0,0
24,12,1,14,0,0,0,0
24,12,1,13,0,0,0,0
24,12,1,12,0,0,0,0
24,12,1,11,0,0,0,0
24,12,1,10,0,0,0,0
24,12,1,9,0,0,0,0
24,12,1,8,0,0,0,0
24,12,1,7,0,0,0,0
24,12,1,6,0,0,0,0
24,12,1,5,0,0,0,0
24,12,1,4,0,0,0,0
24,12,1,3,0,0,0,0
24,12,1,2,0,0,0,0
24,12,1,1,0,0,0,0
2,12,1,28,1,182,10,18
2,12,1,27,1,174,9,17
2,12,1,26,1,180,10,18
2,12,1,25,1,173,10,17
2,12,1,24,1,167,10,16
2,12,1,23,1,162,10,15
2,12,1,22,1,155,10,16
2,12,1,21,1,153,9,16
2,12,1,20,1,160,10,17
2,12,1,19,1,174,10,18
2,12,1,18,1,192,11,18
2,12,1,17,1,175,11,17
2,12,1,16,1,179,11,17
2,12,1,15,1,185,11,18
2,12,1,14,1,204,11,18
2,12,1,13,1,213,11,16
2,12,1,12,1,249,12,18
2,12,1,11,1,265,12,18
2,12,1,10,1,254,13,17
2,12,1,9,1,271,13,18
2,12,1,8,1,291,13,17
2,12,1,7,1,277,13,18
2,12,1,6,1,284,13,18
2,12,1,5,1,278,13,17
2,12,1,4,1,280,13,19
2,12,1,3,1,258,12,16
2,12,1,2,1,236,12,17
2,12,1,1,1,247,12,16
1,12,1,28,4,2019,88,135
1,12,1,27,4,2005,88,136
1,12,1,26,4,1962,89,135
1,12,1,25,4,1955,88,136
1,12,1,24,4,1968,89,139
1,12,1,23,4,1946,91,143
1,12,1,22,4,1946,91,139
1,12,1,21,4,1954,91,135
1,12,1,20,4,1917,92,134
1,12,1,19,4,1929,92,138
1,12,1,18,4,1933,92,134
1,12,1,17,4,1942,90,131
1,12,1,16,4,1969,90,132
1,12,1,15,4,1943,87,133
1,12,1,14,4,2001,87,132
1,12,1,13,4,2058,88,138
1,12,1,12,4,2165,88,132
1,12,1,11,4,2282,92,135
1,12,1,10,5,2406,104,156
1,12,1,9,5,2532,109,151
1,12,1,8,5,2652,115,179
1,12,1,7,5,2770,120,193
1,12,1,6,5,2874,121,184
1,12,1,5,5,2956,123,186
1,12,1,4,5,3080,127,196
1,12,1,3,5,2968,120,175
1,12,1,2,5,2971,121,172
1,12,1,1,5,2904,116,164
3,12,1,28,0,0,0,0
3,12,1,27,0,0,0,0
3,12,1,26,0,0,0,0
3,12,1,25,0,0,0,0
3,12,1,24,0,0,0,0
3,12,1,23,0,0,0,0
3,12,1,22,0,0,0,0
